"","studyName","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","speciesMatched","family","pft","growingCondition","status","light","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","h.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","count"
"20108","Williams2005","Humpty Doo",-12.5,131.3,"Sav",1600,NA,NA,NA,"Terminalia ferdinandiana","Terminalia ferdinandiana","Combretaceae","savanna_tree","FW",NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001661902513749,NA,NA,NA,3.6,1.6,NA,0.046,1.3,NA,2,0.25,NA,NA,0.6,2.92,3.17,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244
"20109","Williams2005","Humpty Doo",-12.5,131.3,"Sav",1600,NA,NA,NA,"Terminalia ferdinandiana","Terminalia ferdinandiana","Combretaceae","savanna_tree","FW",NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0219039693789914,NA,NA,NA,9.4,7.4,NA,0.167,1.3,NA,2,4.02,NA,NA,19.24,132.6,136.62,50.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244
"20110","Williams2005","Humpty Doo",-12.5,131.3,"Sav",1600,NA,NA,NA,"Terminalia ferdinandiana","Terminalia ferdinandiana","Combretaceae","savanna_tree","FW",NA,NA,NA,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00817128249198705,NA,NA,NA,7.2,3.2,NA,0.102,1.3,NA,4,1.11,NA,NA,3.72,21.42,22.53,5.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244
"20111","Williams2005","Humpty Doo",-12.5,131.3,"Sav",1600,NA,NA,NA,"Terminalia ferdinandiana","Terminalia ferdinandiana","Combretaceae","savanna_tree","FW",NA,NA,NA,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00567450173054657,NA,NA,NA,7,3.8,NA,0.085,1.3,NA,3.2,1.44,NA,NA,3.46,21.06,22.5,6.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244
"20112","Williams2005","Humpty Doo",-12.5,131.3,"Sav",1600,NA,NA,NA,"Terminalia ferdinandiana","Terminalia ferdinandiana","Combretaceae","savanna_tree","FW",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00282743338823081,NA,NA,NA,5.6,3.1,NA,0.06,1.3,NA,2.5,0.34,NA,NA,1.5,7.48,7.82,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244
"9954","Lusk0000a","Miranda Scenic Reserve",-37.25,175.3,"TempRF",NA,NA,NA,NA,"Kunzea ericoides","Kunzea ericoides","Myrtaceae","short_sclerophyll_resprout","FW",NA,NA,NA,0.00214,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.85398163397448e-07,NA,NA,0.004997898,0.013522035,0.205,0.119479047,0.001,NA,NA,0.0797716827837597,0.085520953,0.000178,NA,NA,NA,0.000283,0.000461,NA,NA,NA,0.00021,0.000671,1.73e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364
"9955","Lusk0000a","Miranda Scenic Reserve",-37.25,175.3,"TempRF",NA,NA,NA,NA,"Kunzea ericoides","Kunzea ericoides","Myrtaceae","short_sclerophyll_resprout","FW",NA,NA,NA,0.00214,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.85398163397448e-07,NA,NA,0.004997898,0.013522035,0.205,0.119479047,0.001,NA,NA,0.0797716827837597,0.085520953,0.000178,NA,NA,NA,0.000283,0.000461,NA,NA,NA,0.00021,0.000671,1.73e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364
"9956","Lusk0000a","Miranda Scenic Reserve",-37.25,175.3,"TempRF",NA,NA,NA,NA,"Kunzea ericoides","Kunzea ericoides","Myrtaceae","short_sclerophyll_resprout","FW",NA,NA,NA,5e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.06858347057703e-08,NA,NA,0.000531434,0.00291971,0.063,0.021836702,3e-04,NA,NA,0.0260123582978704,0.041163298,1.3e-05,NA,NA,NA,8e-06,2.1e-05,NA,NA,NA,5e-06,2.6e-05,1.36e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364
"9957","Lusk0000a","Miranda Scenic Reserve",-37.25,175.3,"TempRF",NA,NA,NA,NA,"Kunzea ericoides","Kunzea ericoides","Myrtaceae","short_sclerophyll_resprout","FW",NA,NA,NA,0.00088,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81458391671346e-06,NA,NA,0.001499348,0.006724453,0.091,0.024708709,0.00152,NA,NA,0.0436924383036651,0.066291291,4.2e-05,NA,NA,NA,3.5e-05,7.7e-05,NA,NA,NA,2.6e-05,0.000103,1.71e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364
"9958","Lusk0000a","Miranda Scenic Reserve",-37.25,175.3,"TempRF",NA,NA,NA,NA,"Kunzea ericoides","Kunzea ericoides","Myrtaceae","short_sclerophyll_resprout","FW",NA,NA,NA,0.00043,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81458391671346e-06,NA,NA,0.001058157,0.003342001,0.058,0.017453789,0.00152,NA,NA,0.0367054129106093,0.040546211,1.5e-05,NA,NA,NA,1.3e-05,2.8e-05,NA,NA,NA,2.2e-05,5e-05,1.88e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364
"9959","Lusk0000a","Miranda Scenic Reserve",-37.25,175.3,"TempRF",NA,NA,NA,NA,"Kunzea ericoides","Kunzea ericoides","Myrtaceae","short_sclerophyll_resprout","FW",NA,NA,NA,0.00124,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96349540849362e-07,NA,NA,0.001442538,0.006506258,0.077,0.003624056,5e-04,NA,NA,0.0428566964007163,0.073375944,3.5e-05,NA,NA,NA,1.6e-05,5.1e-05,NA,NA,NA,2.7e-05,7.8e-05,1.58e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364
"9960","Lusk0000a","Miranda Scenic Reserve",-37.25,175.3,"TempRF",NA,NA,NA,NA,"Kunzea ericoides","Kunzea ericoides","Myrtaceae","short_sclerophyll_resprout","FW",NA,NA,NA,0.00036,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26292810072473e-07,NA,NA,0.000560725,0.001976864,0.034,0.003554027,0.000401,NA,NA,0.0267196041086245,0.030445973,1e-05,NA,NA,NA,4e-06,1.4e-05,NA,NA,NA,8e-06,2.2e-05,1.44e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364
