"","Specie","Long","Lat","LA.SA","Sample","Height","Alpha","MI","References","X","X.1","LA.SA..m2.m.2.","X.2","count","pft"
"249","Eucalyptus sieberi",149.58,-37.48,3.9,"trunk",NA,0.61,0.64,"Roberts et al. 2001",NA,NA,7874.01574803151,NA,479,"tall_sclerophyll_resprout"
"250","Eucalyptus sieberi",149.58,-37.48,3.51,"trunk",NA,0.61,0.64,"Roberts et al. 2001",NA,NA,3225.80645161291,NA,479,"tall_sclerophyll_resprout"
"223","Eucalyptus delegatensis",148.05,-35.7,3.6,"trunk",20.57,0.7,0.96,"Mokany et al. 2003",NA,NA,3952.56916996048,NA,87,"tall_sclerophyll_seed"
"224","Eucalyptus delegatensis",148.05,-35.7,3.58,"trunk",15.744,0.7,0.96,"Mokany et al. 2003",NA,NA,3759.39849624061,NA,87,"tall_sclerophyll_seed"
"204","Eucalyptus nitens",147.02,-43.3,4.37,"trunk",NA,0.88,1.49,"Medhurst et al. 1999",NA,NA,23529.4117647059,NA,133,"tall_sclerophyll_seed"
"205","Eucalyptus nitens",147.28,-41.02,4.76,"trunk",NA,0.65,0.85,"Medhurst et al. 1999",NA,NA,58139.534883721,NA,133,"tall_sclerophyll_seed"
"206","Eucalyptus nitens",146.9,-43.35,4.4,"trunk",NA,0.92,1.92,"Medhurst et al. 1999",NA,NA,25316.4556962025,NA,133,"tall_sclerophyll_seed"
"207","Eucalyptus nitens",146.9,-43.35,4.31,"trunk",NA,0.92,1.92,"Medhurst et al. 1999",NA,NA,20491.8032786885,NA,133,"tall_sclerophyll_seed"
"208","Eucalyptus nitens",146.9,-43.35,4.66,"trunk",NA,0.92,1.92,"Medhurst et al. 1999",NA,NA,45248.8687782806,NA,133,"tall_sclerophyll_seed"
"209","Eucalyptus nitens",146.9,-43.35,4.42,"trunk",NA,0.92,1.92,"Medhurst et al. 1999",NA,NA,26041.6666666667,NA,133,"tall_sclerophyll_seed"
"210","Eucalyptus nitens",147.27,-41.2,4.55,"trunk",NA,0.77,1.3,"Medhurst et al. 1999",NA,NA,35714.2857142857,NA,133,"tall_sclerophyll_seed"
"211","Eucalyptus nitens",147.27,-41.2,4.46,"trunk",NA,0.73,1.1,"Medhurst et al. 1999",NA,NA,28735.6321839081,NA,133,"tall_sclerophyll_seed"
"212","Eucalyptus nitens",147.28,-41.02,3.54,"trunk",NA,0.65,0.85,"Medhurst et al. 1999",NA,NA,3472.22222222222,NA,133,"tall_sclerophyll_seed"
"213","Eucalyptus nitens",147.28,-41.02,3.69,"trunk",NA,0.65,0.85,"Medhurst et al. 1999",NA,NA,4950.49504950495,NA,133,"tall_sclerophyll_seed"
"214","Eucalyptus nitens",147.6,-42.82,4.11,"trunk",NA,NA,NA,"Medhurst et al. 1999",NA,NA,12853.470437018,NA,133,"tall_sclerophyll_seed"
"215","Eucalyptus nitens",147.6,-42.82,3.66,"trunk",NA,NA,NA,"Medhurst et al. 1999",NA,NA,4587.15596330275,NA,133,"tall_sclerophyll_seed"
"216","Eucalyptus nitens",147.6,-42.82,4.39,"trunk",NA,NA,NA,"Medhurst et al. 1999",NA,NA,24752.4752475248,NA,133,"tall_sclerophyll_seed"
"217","Eucalyptus nitens",147.6,-42.82,3.86,"trunk",NA,NA,NA,"Medhurst et al. 1999",NA,NA,7194.24460431656,NA,133,"tall_sclerophyll_seed"
"218","Eucalyptus nitens",148.1,-41.08,3.69,"trunk",NA,0.72,0.74,"Medhust and Beadle 2002",NA,NA,4926.10837438424,NA,133,"tall_sclerophyll_seed"
"219","Eucalyptus nitens",148.1,-41.08,3.53,"trunk",NA,0.72,0.74,"Medhust and Beadle 2002",NA,NA,3389.83050847458,NA,133,"tall_sclerophyll_seed"
"237","Eucalyptus nitens",146.12,-41.3,3.56,"trunk",NA,0.83,1.12,"Pinkard and Neilsen 2003",NA,NA,3663.00366300366,NA,133,"tall_sclerophyll_seed"
"238","Eucalyptus nitens",146.12,-41.3,3.41,"trunk",NA,0.83,1.12,"Pinkard and Neilsen 2003",NA,NA,2583.97932816538,NA,133,"tall_sclerophyll_seed"
"330","Eucalyptus nitens",147.6,-42.82,3.63,"trunk",NA,NA,NA,"White et al. 1998",NA,NA,4300.00000000001,NA,133,"tall_sclerophyll_seed"
"331","Eucalyptus nitens",147.6,-42.82,3.68,"trunk",NA,NA,NA,"White et al. 1998",NA,NA,4800,NA,133,"tall_sclerophyll_seed"
"332","Eucalyptus nitens",147.6,-42.82,3.72,"trunk",NA,NA,NA,"White et al. 1998",NA,NA,5300.00000000001,NA,133,"tall_sclerophyll_seed"
"333","Eucalyptus nitens",147.6,-42.82,3.65,"trunk",NA,NA,NA,"White et al. 1998",NA,NA,4500,NA,133,"tall_sclerophyll_seed"
"334","Eucalyptus nitens",147.6,-42.82,3.86,"trunk",NA,NA,NA,"White et al. 1998",NA,NA,7300,NA,133,"tall_sclerophyll_seed"
"335","Eucalyptus nitens",147.6,-42.82,3.65,"trunk",NA,NA,NA,"White et al. 1998",NA,NA,4500,NA,133,"tall_sclerophyll_seed"
"360","Eucalyptus nitens",146.68,-38.38,3.5,"trunk",NA,0.76,1.45,"Forrester et al. 2012",NA,NA,3144.65408805032,NA,133,"tall_sclerophyll_seed"
"361","Eucalyptus nitens",146.68,-38.38,3.54,"trunk",NA,0.76,1.45,"Forrester et al. 2012",NA,NA,3496.5034965035,NA,133,"tall_sclerophyll_seed"
"362","Eucalyptus nitens",146.68,-38.38,3.6,"trunk",NA,0.71,0.99,"Forrester et al. 2012",NA,NA,4000.00000000001,NA,133,"tall_sclerophyll_seed"
"363","Eucalyptus nitens",146.68,-38.38,3.58,"trunk",NA,0.71,0.99,"Forrester et al. 2012",NA,NA,3831.41762452108,NA,133,"tall_sclerophyll_seed"
"364","Eucalyptus nitens",146.68,-38.38,3.61,"trunk",NA,0.71,0.99,"Forrester et al. 2012",NA,NA,4032.25806451613,NA,133,"tall_sclerophyll_seed"
"365","Eucalyptus nitens",146.68,-38.38,3.61,"trunk",NA,0.71,0.99,"Forrester et al. 2012",NA,NA,4081.63265306122,NA,133,"tall_sclerophyll_seed"
"366","Eucalyptus nitens",146.68,-38.38,3.57,"trunk",NA,0.76,1.45,"Forrester et al. 2012",NA,NA,3731.34328358209,NA,133,"tall_sclerophyll_seed"
"367","Eucalyptus nitens",146.68,-38.38,3.63,"trunk",NA,0.76,1.45,"Forrester et al. 2012",NA,NA,4273.50427350428,NA,133,"tall_sclerophyll_seed"
"368","Eucalyptus nitens",146.68,-38.38,3.73,"trunk",NA,0.71,0.99,"Forrester et al. 2012",NA,NA,5347.5935828877,NA,133,"tall_sclerophyll_seed"
"369","Eucalyptus nitens",146.68,-38.38,3.71,"trunk",NA,0.71,0.99,"Forrester et al. 2012",NA,NA,5128.20512820514,NA,133,"tall_sclerophyll_seed"
"370","Eucalyptus nitens",146.68,-38.38,3.71,"trunk",NA,0.71,0.99,"Forrester et al. 2012",NA,NA,5154.63917525774,NA,133,"tall_sclerophyll_seed"
"371","Eucalyptus nitens",146.68,-38.38,3.69,"trunk",NA,0.71,0.99,"Forrester et al. 2012",NA,NA,4878.04878048781,NA,133,"tall_sclerophyll_seed"
"372","Eucalyptus nitens",146.68,-38.38,3.74,"trunk",NA,0.71,0.99,"Forrester et al. 2012",NA,NA,5464.48087431695,NA,133,"tall_sclerophyll_seed"
"373","Eucalyptus nitens",146.68,-38.38,3.72,"trunk",NA,0.71,0.99,"Forrester et al. 2012",NA,NA,5208.33333333334,NA,133,"tall_sclerophyll_seed"
"374","Eucalyptus nitens",146.68,-38.38,3.71,"trunk",NA,0.71,0.99,"Forrester et al. 2012",NA,NA,5102.04081632653,NA,133,"tall_sclerophyll_seed"
"442","Eucalyptus nitens",147.68,-41.78,3.23,"trunk",NA,0.5,0.47,"Feikema et al. 2010",NA,NA,1704.3946476577,NA,133,"tall_sclerophyll_seed"
"443","Eucalyptus nitens",147.68,-41.78,3.24,"trunk",NA,0.56,0.77,"Feikema et al. 2010",NA,NA,1746.53189297707,NA,133,"tall_sclerophyll_seed"
"444","Eucalyptus nitens",143.58,-38.87,3.37,"trunk",NA,NA,NA,"Feikema et al. 2010",NA,NA,2354.2899433958,NA,133,"tall_sclerophyll_seed"
"445","Eucalyptus nitens",148.32,-38.3,3.35,"trunk",NA,NA,NA,"Feikema et al. 2010",NA,NA,2215.15275451401,NA,133,"tall_sclerophyll_seed"
"446","Eucalyptus nitens",149.38,-37.38,3.51,"trunk",NA,0.63,0.62,"Feikema et al. 2010",NA,NA,3267.85639752231,NA,133,"tall_sclerophyll_seed"
"447","Eucalyptus nitens",147.12,-37.28,3.44,"trunk",NA,0.7,1,"Feikema et al. 2010",NA,NA,2729.11723751661,NA,133,"tall_sclerophyll_seed"
"261","Eucalyptus regnans",145.63,-37.57,3.43,"trunk",NA,0.85,1.68,"Vertessy et al. 1995 ",NA,NA,2680.96514745308,NA,117,"tall_sclerophyll_seed"
"262","Eucalyptus regnans",145.63,-37.57,3.61,"trunk",65,0.78,1.5,"Vertessy et al. 1997",NA,NA,4115.22633744856,NA,117,"tall_sclerophyll_seed"
"263","Eucalyptus regnans",145.63,-37.57,3.58,"trunk",55.23,0.78,1.5,"Vertessy et al. 1997",NA,NA,3773.58490566038,NA,117,"tall_sclerophyll_seed"
"264","Eucalyptus regnans",145.63,-37.57,3.29,"trunk",NA,0.69,0.74,"Vertessy et al. 2001",NA,NA,1930.50193050193,NA,117,"tall_sclerophyll_seed"
"1","Ceratopetalum apetalum",150.03,-35.58,2.79,"trunk",NA,0.57,0.99,"Barrett et al. 1996",NA,NA,613.496932515338,NA,157,"warm_rainforest_tree"
"2","Doryphora sassafras",150.03,-35.58,2.77,"trunk",NA,0.57,0.99,"Barrett et al. 1996",NA,NA,584.795321637427,NA,214,"warm_rainforest_tree"
