Specie,Long,Lat,LA:SA,Sample,Height,Alpha,MI,References,,,LA:SA (m2 m-2),
Acacia mearnsii ,149.02,-37.58,3.37,trunk,,0.71,0.94,Forrester et al. 2010b,,,2325.581395348840,
Acacia mearnsii ,149.02,-37.58,3.34,trunk,,0.71,0.94,Forrester et al. 2010b,,,2188.183807439830,
Acacia mearnsii ,149.02,-37.58,3.36,trunk,,0.71,0.94,Forrester et al. 2010b,,,2283.105022831050,
Eucalyptus globulus ,149.02,-37.58,3.28,trunk,,0.69,0.68,Forrester et al. 2010b,,,1893.939393939400,
Eucalyptus globulus ,149.02,-37.58,3.59,trunk,,0.69,0.68,Forrester et al. 2010b,,,3891.050583657590,
Eucalyptus globulus ,149.02,-37.58,3.35,trunk,,0.69,0.68,Forrester et al. 2010b,,,2262.443438914030,
Eucalyptus globulus ,149.02,-37.58,3.16,trunk,,0.71,0.94,Forrester et al. 2010b,,,1457.725947521870,
Eucalyptus globulus ,149.02,-37.58,3.34,trunk,,0.71,0.94,Forrester et al. 2010b,,,2178.649237472770,
Eucalyptus globulus ,149.02,-37.58,3.36,trunk,,0.71,0.94,Forrester et al. 2010b,,,2267.573696145130,
Eucalyptus globulus ,149.02,-37.58,3.31,trunk,,0.69,0.68,Forrester et al. 2010b,,,2053.388090349080,
Eucalyptus globulus ,149.02,-37.58,3.25,trunk,,0.69,0.68,Forrester et al. 2010b,,,1782.531194295900,
Eucalyptus globulus ,149.02,-37.58,3.27,trunk,,0.69,0.68,Forrester et al. 2010b,,,1883.239171374770,
Eucalyptus globulus ,149.02,-37.58,3.28,trunk,,0.71,0.94,Forrester et al. 2010b,,,1915.708812260540,
Eucalyptus globulus ,149.02,-37.58,3.28,trunk,,0.71,0.94,Forrester et al. 2010b,,,1912.045889101340,
Eucalyptus globulus ,149.02,-37.58,3.28,trunk,,0.71,0.94,Forrester et al. 2010b,,,1904.761904761910,
Eucalyptus grandis,152.60,-27.08,4.33,trunk,4.4,0.43,0.44,Kalma et al. 1998,,,21551.724137931100,
Eucalyptus grandis,152.08,-26.00,4.44,trunk,11.93,0.35,0.33,Kalma et al. 1998,,,27548.209366391200,
Aegiceras corniculatum,151.02,-33.07,2.99,branch,,0.61,0.63,McClenahan et al. 2004,,,970.873786407768,
Aegiceras corniculatum,151.02,-33.07,3.20,branch,,0.47,0.45,McClenahan et al. 2004,,,1592.356687898090,
Angophora hispida,151.02,-33.07,2.86,branch,,0.61,0.63,McClenahan et al. 2004,,,719.424460431655,
Angophora hispida,151.02,-33.07,3.60,branch,,0.47,0.45,McClenahan et al. 2004,,,3984.063745019930,
Angophora hispida,151.02,-34.02,3.19,branch,,0.61,0.71,McClenahan et al. 2004,,,1536.098310291860,
Angophora hispida,151.02,-34.02,3.69,branch,,0.49,0.52,McClenahan et al. 2004,,,4901.960784313730,
Avicennia marina,151.02,-33.07,2.97,branch,,0.61,0.63,McClenahan et al. 2004,,,934.579439252337,
Avicennia marina,151.02,-33.07,3.21,branch,,0.47,0.45,McClenahan et al. 2004,,,1620.745542949760,
Aegiceras corniculatum,151.02,-33.07,2.98,branch,,0.61,0.63,McClenahan et al. 2004,,,952.380952380953,
 Aegiceras corniculatum,151.02,-33.07,3.21,branch,,0.47,0.45,McClenahan et al. 2004,,,1605.136436597110,
Avicennia marina,151.02,-33.07,2.98,branch,,0.61,0.63,McClenahan et al. 2004,,,952.380952380953,
Avicennia marina,151.02,-33.07,3.21,branch,,0.47,0.45,McClenahan et al. 2004,,,1605.136436597110,
Banksia integrifolia,151.02,-33.07,3.09,branch,,0.61,0.63,McClenahan et al. 2004,,,1223.990208078340,
Banksia integrifolia,151.02,-33.07,3.29,branch,,0.47,0.45,McClenahan et al. 2004,,,1945.525291828790,
Glochidion ferdinandi,151.02,-33.07,3.14,branch,,0.61,0.63,McClenahan et al. 2004,,,1390.820584144650,
Glochidion ferdinandi,151.02,-33.07,3.38,branch,,0.47,0.45,McClenahan et al. 2004,,,2403.846153846150,
Cissus hypoglauca,151.02,-33.07,3.14,branch,,0.61,0.63,McClenahan et al. 2004,,,1390.820584144650,
Cissus hypoglauca,151.02,-33.07,3.38,branch,,0.47,0.45,McClenahan et al. 2004,,,2403.846153846150,
Banksia integrifolia,151.02,-33.07,3.14,branch,,0.61,0.63,McClenahan et al. 2004,,,1390.820584144650,
Banksia integrifolia,151.02,-33.07,3.38,branch,,0.47,0.45,McClenahan et al. 2004,,,2403.846153846150,
Banksia oblongifolia,151.02,-33.07,2.85,branch,,0.61,0.63,McClenahan et al. 2004,,,704.225352112677,
Banksia oblongifolia,151.02,-33.07,3.22,branch,,0.47,0.45,McClenahan et al. 2004,,,1675.041876046900,
Banksia oblongifolia,151.02,-34.02,3.00,branch,,0.61,0.71,McClenahan et al. 2004,,,990.099009900991,
Banksia oblongifolia,151.02,-34.02,3.14,branch,,0.49,0.52,McClenahan et al. 2004,,,1392.757660167130,
Persoonia lanceolata,151.02,-34.02,2.97,branch,,0.61,0.71,McClenahan et al. 2004,,,943.396226415095,
Persoonia lanceolata,151.02,-34.02,3.31,branch,,0.49,0.52,McClenahan et al. 2004,,,2053.388090349080,
Angophora hispida,151.02,-34.02,2.97,branch,,0.61,0.71,McClenahan et al. 2004,,,943.396226415095,
Angophora hispida,151.02,-34.02,3.31,branch,,0.49,0.52,McClenahan et al. 2004,,,2053.388090349080,
Banksia oblongifolia,151.02,-34.02,2.97,branch,,0.61,0.71,McClenahan et al. 2004,,,943.396226415095,
Banksia oblongifolia,151.02,-34.02,3.31,branch,,0.49,0.52,McClenahan et al. 2004,,,2053.388090349080,
Cissus hypoglauca,151.02,-33.07,3.00,branch,,0.61,0.63,McClenahan et al. 2004,,,1002.004008016030,
Cissus hypoglauca,151.02,-33.07,3.41,branch,,0.47,0.45,McClenahan et al. 2004,,,2583.979328165380,
Eucalyptus haemostoma ,151.02,-33.07,2.69,branch,,0.61,0.63,McClenahan et al. 2004,,,490.196078431373,
Eucalyptus haemostoma ,151.02,-33.07,3.49,branch,,0.47,0.45,McClenahan et al. 2004,,,3115.264797507790,
Banksia oblongifolia,151.02,-33.07,2.79,branch,,0.61,0.63,McClenahan et al. 2004,,,617.283950617284,
